,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
118,0.609,0.427,1,-9.587,0,0.137,0.0707,0.0,0.162,0.0829,72.992,2WGI4bWvEKOhnyWJYVzSg4,203480,3
119,0.742,0.5,0,-9.984,1,0.0964,0.105,0.0,0.0893,0.648,150.075,5v0XqJN4DE6kVDPfsetdKR,180293,3
120,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,5BbdKBZO0TH0GhfxUfyhL9,162053,3
121,0.543,0.558,1,-9.15,0,0.162,0.00618,0.0,0.178,0.544,106.222,0ZdMGgz895CJcBzkBFzkHM,160440,3
122,0.767,0.522,8,-11.244,1,0.104,0.0541,0.0,0.0841,0.395,133.04,1r8BiYNLCQF4TXTDnmi9Dp,180000,3
123,0.72,0.438,9,-9.037,0,0.254,0.216,0.0,0.103,0.567,139.902,0fddJI7TUlS8x5hawNPkqp,193813,3
124,0.611,0.628,6,-8.567,1,0.0679,0.0281,0.0,0.127,0.534,81.98,2eZyQvuZoaGrXwjikXZWYj,179212,3
125,0.811,0.426,8,-11.165,0,0.143,0.00562,0.0,0.0875,0.665,123.866,3xQI1FXYpptZWuSSC1k58K,203226,3
126,0.673,0.758,0,-7.409,1,0.0474,0.36,1.19e-06,0.0717,0.962,113.0,4v6ErMOLSGsJzNiO8WXdRL,172035,3
127,0.397,0.478,5,-10.466,1,0.101,0.00311,7.68e-05,0.854,0.412,201.93,2FdBVOmWkxJga5vEwKUZr5,232000,3
128,0.767,0.612,2,-7.485,1,0.193,0.0661,8.67e-05,0.106,0.26,144.054,2ps32JfINMrZOSKuXlczR2,122000,3
129,0.651,0.451,4,-9.056,0,0.0365,0.648,0.0,0.11,0.451,80.002,7KpAvo5tZz7VfOaP4Y4S2f,169119,3
130,0.67,0.313,11,-11.716,1,0.0445,0.667,0.0,0.228,0.514,97.973,50A4F7QE2EQu5b15NZfZVN,158000,3
131,0.667,0.548,9,-9.559,1,0.049,0.204,7.19e-06,0.0752,0.406,83.992,5BRwGl4Q1kebSOuWN8uMmV,186716,3
132,0.573,0.293,11,-12.52,1,0.0648,0.344,0.0,0.149,0.417,116.035,1Uv7ofkoz4bNvPQ2nUZ5IK,183168,3
133,0.622,0.5,2,-7.079,1,0.0293,0.527,0.0,0.267,0.527,115.003,7EGk8u9wNxl5raBdSj9avB,214827,3
134,0.766,0.83,1,-7.882,0,0.0628,0.0469,0.000167,0.0647,0.932,90.007,25R0kiKUe5ssDKTtaWwJfT,171076,3
135,0.324,0.746,11,-7.55,0,0.0434,6.62e-05,0.0,0.302,0.365,135.033,6W6Pwb0qbKfwLK0syfDTHY,156003,3
136,0.674,0.674,1,-6.374,1,0.0618,0.00283,0.0,0.176,0.211,162.984,6VmyN2WoI2tAesZVmLwbpR,157355,3
137,0.816,0.526,1,-8.241,1,0.29,0.022,7.05e-05,0.0881,0.383,142.987,4kdKKsPHWsyNrvFsZrcg52,121080,3
138,0.637,0.723,2,-5.547,1,0.091,0.0134,7.87e-05,0.196,0.228,143.013,0fIffclhgJC5h8AdMMVvkp,214960,3
139,0.683,0.607,2,-5.523,1,0.221,0.262,1.39e-05,0.354,0.506,141.99,2ZRdQMMKtmPLdYp9aP5cK5,118800,3
140,0.525,0.813,1,-4.951,1,0.418,0.157,0.0,0.5,0.564,141.548,5T9aZRhY5uYeovAQtATLyK,199827,3
141,0.712,0.827,6,-4.342,0,0.325,0.0959,0.000977,0.283,0.555,143.093,2T1GbU75iGVtOhNUbZuNqk,241787,3
142,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,79s5XnCN4TJKTVMSmOx8Ep,216387,3
143,0.674,0.636,7,-6.723,1,0.338,0.41,0.0,0.153,0.489,71.44,51HgBYRV0YivvvQMyptpYH,161280,3
144,0.599,0.622,10,-4.313,0,0.264,0.124,0.00278,0.158,0.199,91.615,24b6djSbUFQtXAdyb3FMbr,199827,3
145,0.78,0.657,7,-7.165,1,0.145,0.435,9.42e-06,0.298,0.364,141.619,7wttMlE6un70hfwymwniYl,182880,3
146,0.867,0.493,3,-8.727,0,0.0756,0.107,0.0,0.114,0.669,108.021,1uSL05AcsSNgzTfMDGGpOI,177816,3
147,0.696,0.63,1,-3.687,0,0.0348,0.00336,0.0,0.347,0.38,110.014,1LKZOpdD96FcZkSrVXmuBV,237845,3
148,0.734,0.745,8,-4.311,1,0.249,0.171,0.0,0.165,0.762,91.024,7EnF0bxmJqLNqNGSiGjktZ,166204,3
149,0.664,0.877,8,-7.028,0,0.277,0.0318,0.0,0.161,0.276,92.97,4wNDgXVJncgn5nGaYLoMiT,211613,3
150,0.644,0.804,6,-7.563,0,0.68,0.615,0.0,0.633,0.377,81.025,1OOfcq7Vg7mSQmbIA3STVx,245926,3
151,0.618,0.78,5,-8.736,0,0.379,0.147,7.37e-06,0.445,0.376,89.757,14v5qJ6MqsT1OK1duU1XX4,266667,3
152,0.648,0.808,9,-7.568,0,0.104,0.823,7.98e-05,0.34,0.566,79.965,3xUPIkzqBesCR4mfXlZBjP,196125,3
153,0.593,0.916,9,-6.441,1,0.0855,0.0496,0.00192,0.327,0.874,158.013,2q6mb2Rlbx5vzcfMQ5SPM5,249114,3
154,0.759,0.815,7,-7.583,1,0.13,0.156,0.0,0.0974,0.697,100.023,00O6LqyFrSG1EaFTyVo6EM,211200,3
155,0.372,0.479,2,-8.218,1,0.0411,0.00173,0.00018,0.147,0.08,175.134,78fUyqhfdpL5aaD12QSGCi,218571,3
156,0.534,0.297,9,-18.747,1,0.787,0.618,0.0,0.121,0.376,82.778,6tADmyZEoF9yur3HFpgNtH,99733,3
157,0.559,0.511,8,-8.975,1,0.212,0.0167,0.0,0.266,0.153,146.903,6CyFeNn9wCEroJSP4Noh1J,393120,3
158,0.362,0.0129,11,-31.219,0,0.12,0.41,3.83e-06,0.0815,0.147,161.775,5UBskO8qMRK7raFKyug2xr,25667,3
159,0.478,0.403,6,-11.148,0,0.139,0.277,5.5e-06,0.183,0.0897,125.047,6eInybsm5PbhcEC8TRxg8Y,233067,3
160,0.772,0.0789,11,-18.721,1,0.349,0.629,0.0,0.0915,0.766,117.656,0WdBsXgn0FXnxFxOorOj6Q,39987,3
161,0.485,0.489,10,-10.783,0,0.379,0.127,0.0,0.144,0.225,190.332,4oQMUKXemc9DwfZlhqwmAg,286920,3
162,0.571,0.469,8,-17.177,0,0.527,0.14,0.0,0.118,0.346,89.622,4fTX8vEiS1e271LBi2bxI7,65253,3
163,0.498,0.514,4,-8.373,0,0.116,0.0101,0.0,0.143,0.0879,108.052,0LbdVPc1yqXD2mp25oxbcs,339520,3
164,0.471,0.327,10,-19.184,0,0.251,0.408,5.88e-06,0.199,0.0756,105.16,0Azt7QfTDjGZIHTl7WcxDL,57187,3
165,0.541,0.448,1,-9.813,1,0.342,0.042,0.0,0.078,0.0646,87.193,7eMwafTLRq8vMavykhpHA7,215520,3
166,0.422,0.491,10,-17.874,0,0.0971,0.763,0.0103,0.273,0.197,62.254,0hQ2tI7ZtbQFz5tMvzoMJz,51093,3
167,0.558,0.378,11,-9.902,0,0.0395,0.511,0.0,0.0421,0.183,136.234,1nW0h15b9OoKxpEwz3NT2P,329467,3
