danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.727,0.694,2,-4.732,1,0.208,0.142,1.45e-06,0.179,0.448,141.995,1w3uHMOkOkiFTcNMTmF7Yz,165640,4
0.811,0.645,9,-6.659,1,0.286,0.0763,5.79e-05,0.514,0.584,141.968,69XuGsddDnR25Bf346lz2d,108160,4
0.774,0.742,6,-5.248,0,0.242,0.0138,0.0,0.0643,0.707,141.029,6kkxPZCQnjkQbnSpsLPeoy,190680,4
0.473,0.533,10,-8.034,0,0.357,0.446,0.0,0.257,0.591,141.897,4Z7gOJ6waTU4V0HE01hXEQ,161120,4
0.735,0.747,4,-4.017,0,0.323,0.121,0.0,0.0986,0.646,141.032,4lcdgkWFRrYcDbWUs7YKAU,156373,4
0.711,0.869,9,-4.244,1,0.394,0.029,7.61e-06,0.255,0.3,184.046,6f9UzFw9QyplBQ2sPTSzkS,135747,4
0.75,0.719,8,-7.347,0,0.116,0.494,0.0363,0.112,0.664,143.54,3VmlVABdTtxUfTl2KkMw64,146720,4
0.681,0.788,1,-5.959,0,0.31,0.491,0.0,0.264,0.769,145.168,2BM5anUfT0hmytnDWvgDVf,160560,4
0.706,0.67,10,-4.14,0,0.231,0.206,0.000394,0.523,0.858,142.88,01gdOSXAn1CCsAhXsInsy1,174547,4
0.63,0.717,4,-4.9,0,0.0382,0.438,1.43e-06,0.197,0.262,145.704,0VfV8BeecmA953RNWXjTZL,125173,4
0.543,0.787,7,-6.238,1,0.332,0.224,0.00139,0.399,0.711,137.321,7xQVlws5VBsECoOhjNLHNo,216387,4
0.669,0.776,1,-4.421,0,0.128,0.18,0.0,0.0771,0.532,141.897,25X48db4yePf2hwtwbNsmb,221813,4
0.846,0.618,11,-4.32,0,0.196,0.143,0.0,0.0668,0.649,143.012,4zW8VOqCHBwoAUZu0uO304,194680,4
0.74,0.81,7,-5.437,1,0.309,0.198,5.62e-05,0.413,0.79,141.944,4ZyKAKbcWhbW2yqR3VvfdA,230387,4
0.555,0.624,3,-5.951,1,0.397,0.37,0.0,0.193,0.583,91.039,3GPFK39xsN0So6LkeU620F,190840,4
0.829,0.575,1,-4.802,1,0.326,0.27,0.0,0.0896,0.268,105.932,0KEGS1QIGZMXHm6wVJ2t6h,289347,4
0.468,0.845,9,-8.765,1,0.0432,0.0135,0.0368,0.311,0.484,130.168,1vh6DLMjKqQlqwCnTRiN0O,417893,4
0.414,0.799,7,-13.679,1,0.0448,0.00182,1.16e-05,0.0761,0.758,164.522,4WDMOw9pfjN5VoOkpsxOMn,221467,4
0.365,0.901,0,-12.549,1,0.0458,0.0728,7.11e-05,0.554,0.483,166.52,3EFSOqHMrzSXNapzLwldn8,222907,4
0.519,0.61,0,-10.256,1,0.036,0.0766,6.49e-05,0.248,0.232,121.324,00tRbuNzjYQKmssUE0PA8n,346627,4
0.578,0.897,0,-7.087,1,0.0406,0.151,0.0302,0.326,0.685,115.246,2HHLHKK8nahSVumO1TSuvi,250973,4
0.513,0.939,4,-8.533,1,0.0464,0.191,5.47e-06,0.167,0.518,144.643,1T6mc59u7q6qQCwhNE2sAz,270120,4
0.46,0.743,9,-11.872,0,0.0641,0.0611,4.01e-05,0.107,0.633,155.59,3GK8Gc92c9dnZ4frLcmQ7M,197093,4
0.462,0.926,9,-8.842,1,0.0522,0.0157,0.00679,0.297,0.739,151.991,0jSxEDpHFjSwkVpRFw8KOv,265200,4
0.58,0.943,9,-9.995,1,0.0357,0.00638,0.065,0.105,0.561,125.305,5FvDlLMyBm0FGYCg70pl0F,403880,4
0.536,0.947,9,-8.133,1,0.0834,0.00298,0.00506,0.102,0.498,108.136,7bwW4rsHILntdQWNxoapuv,296707,4
0.556,0.929,0,-9.588,1,0.0461,0.0537,2.39e-06,0.29,0.744,128.093,1cDhFMRSJ2hZDHkQ6xXYnT,249933,4
0.498,0.848,5,-10.226,1,0.051,0.00704,0.0297,0.0697,0.605,124.381,3SjHlpqlr0kD8zdiSP5FKD,292013,4
0.62,0.713,7,-8.985,1,0.028,0.175,3.6e-06,0.241,0.644,121.19,52yloO5wYB2gpDZDBgbkRa,287827,4
0.469,0.893,2,-9.233,1,0.0695,0.0252,0.000841,0.147,0.602,158.106,22hTkLPrzOX07y31UvxV60,253187,4
0.527,0.856,11,-7.895,0,0.0325,0.00115,0.148,0.0589,0.79,143.089,5ozJ1eOo4LlrVi0q9YmmMF,247933,4
0.503,0.787,9,-12.191,1,0.0418,0.00734,9.3e-06,0.45,0.61,132.497,2DiJeSffVZs3yBhOZC8nde,183307,4
0.421,0.879,2,-8.39,1,0.0376,0.00348,0.0,0.158,0.888,142.129,0SK8VdptyDXgPoAP6cEsKn,214173,4
0.689,0.93,9,-10.287,1,0.0704,0.0457,0.00185,0.254,0.327,111.007,4ziUCoWPV0s3J16N320RJl,307600,4
0.606,0.65,2,-12.421,1,0.0307,0.0322,6.1e-05,0.0988,0.684,115.226,79Kb89qenwsuSPbAHEXyAI,236800,4
0.375,0.643,9,-13.395,1,0.0353,0.00711,6.03e-06,0.0944,0.692,135.852,1caifN0t8pHDK7xofdLoCb,211333,4
0.62,0.82,8,-9.759,0,0.928,0.853,1.49e-06,0.931,0.395,101.326,5eX674Bqe51B7Z5Mx5KTnB,61800,4
0.584,0.861,7,-4.261,1,0.35,0.0114,8.35e-06,0.213,0.473,176.014,5HF9hbNEmOd2DTsSomgtWV,174893,4
0.664,0.84,9,-4.864,1,0.329,0.127,0.0,0.117,0.487,92.889,2nUgxQ3sjvi54g2fA0hirb,228840,4
0.719,0.769,2,-3.321,1,0.323,0.0902,0.0,0.0599,0.425,88.462,31QRqdCaclIMKrvB2XC3gp,205560,4
0.779,0.847,6,-4.132,0,0.223,0.0244,0.0,0.0593,0.743,94.904,3h3hL6IOW0XxrHSFLy3GV2,231000,4
0.779,0.877,11,-3.568,0,0.272,0.0148,0.0,0.19,0.806,89.897,6G3AzsmatYWl5RL0lyjnN2,237400,4
0.694,0.89,6,-3.918,0,0.331,0.1,0.0,0.0514,0.748,91.238,7wpXvwGmn5U8DIU8HtEnX1,290400,4
0.875,0.713,1,-4.758,0,0.207,0.0536,0.0,0.132,0.814,93.811,6KUGih2p7LvZjD9Ws0mEiv,238867,4
0.799,0.592,6,-6.02,1,0.499,0.0173,0.0,0.482,0.906,91.043,6RrK2iOB3eBLg28izV6lkz,190933,4
0.907,0.762,2,-5.275,1,0.38,0.0392,0.0,0.727,0.529,94.875,4qX77zStVC1txcrFfuqTLL,301173,4
0.566,0.57,8,-7.767,0,0.383,0.337,0.000975,0.124,0.563,178.942,0uQOE7QgUiW6xy5isyzBIH,259533,4
0.51,0.855,8,-4.897,1,0.473,0.343,0.0,0.224,0.748,170.144,17aOBqgXQQ3b9UbOccjy08,306640,4
0.839,0.789,6,-6.607,0,0.39,0.0173,0.0,0.567,0.766,89.91,0PeqeSNJhzHJYZXXFAzVAA,244627,4
0.781,0.784,7,-3.653,1,0.266,0.0216,0.0,0.394,0.602,87.852,62Pg5WCcDviFANeEWccQAp,225840,4
0.808,0.778,7,-4.618,1,0.273,0.107,0.0,0.27,0.72,90.997,2G8D2UKUGt7LrkrDhLqlcf,306907,4
0.549,0.124,8,-21.527,1,0.501,0.552,0.188,0.175,0.794,97.653,4lIyYuC3f68DZjeIfo6BrM,45333,4
0.853,0.494,10,-10.911,0,0.201,0.0109,0.000884,0.205,0.341,95.284,671sDyeE398eD0sdGuVbZU,191533,4
0.812,0.6,7,-9.414,1,0.254,0.00308,8.38e-06,0.173,0.555,97.338,5YTM7OgQDt9EJAYcfHLniJ,226440,4
0.868,0.498,7,-13.683,1,0.378,0.253,9.06e-05,0.656,0.9,94.062,0tBlp6zZ4j238CbdXCYy7A,260893,4
0.774,0.623,1,-10.372,1,0.324,0.299,0.0,0.385,0.928,86.233,4DcrZLp19qTdBYqc2bgj3V,245080,4
0.805,0.539,1,-9.968,1,0.179,0.143,0.513,0.107,0.6,94.58,7g2BVLCYyGeVHGGFajED65,265027,4
0.78,0.626,7,-9.99,1,0.199,0.0574,0.0122,0.501,0.667,93.945,4tnbcPfOSZq5VAU67XxIdN,259120,4
0.852,0.418,11,-12.823,1,0.42,0.246,0.35,0.126,0.651,98.237,32WDVNZXIAuu7EqncTTKjH,243800,4
0.827,0.775,10,-7.996,0,0.208,0.131,0.00332,0.26,0.768,93.064,3GRBtVv3gbDwu3e0nkTP74,196493,4
0.866,0.698,10,-7.976,0,0.272,0.0327,0.0187,0.108,0.713,94.64,6FI3RJ58Ztl0X1VtA6pVs9,208840,4
0.749,0.359,11,-14.07,1,0.423,0.0204,0.000962,0.178,0.761,88.738,6qwFuoKqoDI1lOifvEVrPP,186067,4
0.803,0.668,11,-9.546,0,0.328,0.0431,0.0,0.448,0.695,93.996,5VEKqp658KuE7uIgTQDyVT,242373,4
0.744,0.664,11,-9.131,0,0.148,0.28,0.927,0.172,0.719,96.944,6YRZngBVAy2FgUQWk3lwL1,249027,4
0.8,0.646,1,-10.556,0,0.267,0.0806,0.0,0.0979,0.52,95.105,3l30bDO9Kn2XJ9H2azq5PY,255547,4
0.28,0.853,11,-6.604,1,0.235,0.000381,0.000308,0.549,0.391,144.637,6lAJKLScdZBpPUqMuBDR6b,237391,4
0.656,0.671,3,-6.989,0,0.276,0.0858,0.0,0.692,0.779,156.189,24vtV3vcIjg53ZFRCOZMK8,237391,4
0.329,0.824,5,-5.645,0,0.102,0.00203,0.0,0.321,0.593,78.604,5WKSt6TbO1p1wAgv92ORnp,245410,4
0.607,0.752,2,-6.137,1,0.283,0.000437,0.0,0.693,0.493,143.929,40unn65YXuekLqMqar7UUt,272568,4
