,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
158,0.24,0.825,0,-7.529,1,0.0641,0.0934,0.0,0.348,0.26,144.157,2rkp1o2c0jbtww6n5nDQDc,246760,4,1,2017
159,0.459,0.0665,5,-18.436,1,0.0398,0.991,0.918,0.104,0.0669,65.552,5Iw9QwIAqJwDeOTSjPtsVp,193133,4,1,2020
160,0.448,0.0613,9,-18.859,1,0.0382,0.99,0.911,0.109,0.0944,102.427,6IWE7WewqBkLCtfs1Wt3eY,240093,4,1,2020
161,0.463,0.0921,4,-18.522,0,0.0436,0.992,0.92,0.0927,0.094,120.076,0gKdUvYnwMld2Sw39Bw4hZ,207520,3,1,2020
162,0.423,0.0633,7,-21.343,1,0.0389,0.985,0.816,0.104,0.0375,97.455,1G3gLcXPEcwh1p6x0hE6ra,203453,1,1,2020
163,0.36,0.0584,2,-18.228,1,0.0359,0.991,0.816,0.112,0.163,98.3,5DicArPpui7Mtu4JSjWZ1o,153200,3,1,2020
164,0.264,0.0572,5,-18.799,1,0.037,0.988,0.898,0.111,0.0396,169.82,3IgTIuuIcDBql2ltPkZYuf,243147,4,1,2020
165,0.423,0.0819,6,-21.549,0,0.0391,0.967,0.766,0.111,0.13,96.18,0ld05PS3iXItwJvWSE4WH0,207493,4,1,2020
166,0.438,0.107,2,-23.584,1,0.0554,0.966,0.824,0.101,0.0601,99.774,5XpkwgyIyNb6rGXj37PBz8,149547,3,1,2020
167,0.461,0.0686,7,-20.299,1,0.0349,0.968,0.911,0.117,0.0886,82.396,4ksHahSBCoLMJYAe4LKhOq,226040,4,1,2020
168,0.458,0.0955,9,-18.2,1,0.0392,0.993,0.892,0.111,0.207,96.449,122x1eTmErDzWSTScz7qcn,222827,4,1,2020
169,0.271,0.0512,7,-17.736,0,0.0715,0.993,0.835,0.0987,0.197,213.306,4GCkG0hp1rkZuliWbiBQuS,363467,3,1,2020
170,0.507,0.2,2,-16.517,1,0.0349,0.989,0.895,0.11,0.161,96.989,6N0C3gO03gufOEe7BtD4hc,262000,4,1,2020
171,0.288,0.0556,9,-18.715,1,0.0404,0.989,0.835,0.0888,0.0652,71.177,7qoGWfWJiJ74xYj0QjQ03H,180299,4,1,2020
172,0.554,0.322,8,-15.91,1,0.0406,0.856,0.785,0.089,0.641,129.324,4EmDBTp3K3trOT3uIg26Gt,502800,1,1,2020
173,0.494,0.323,1,-14.348,1,0.0339,0.907,0.713,0.0695,0.421,106.013,2PNvoGDErlX0gS8dUUGqeM,391160,3,1,2020
174,0.442,0.151,1,-19.095,1,0.0379,0.962,0.96,0.0654,0.33,128.143,08OJoMLlQ7nEo4NrgxKq5l,250133,4,1,2020
175,0.4,0.21,10,-18.549,0,0.0383,0.955,0.844,0.0978,0.254,88.468,6yDhRbgrOILzj1gEk5Cp35,702467,3,1,2020
176,0.534,0.382,8,-16.371,1,0.0296,0.83,0.876,0.113,0.403,111.692,4Sv49zVNTBJjcy9x4aPpNY,411667,3,1,2020
177,0.474,0.0223,8,-19.426,1,0.0549,0.991,0.488,0.113,0.371,86.458,5ilmLM6bm3zXKY5ca2vk76,326067,4,1,2020
