Country,year,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
Somalia,2020,4714,130,4714,130
Somalia,2021,10161,645,14875,775
South Africa,2020,1039161,28033,1039161,28033
South Africa,2021,837982,31373,1877143,59406
South Sudan,2020,3540,63,3540,63
South Sudan,2021,7272,52,10812,115
Spain,2020,1949379,53770,1949379,53770
Spain,2021,1828160,26996,3777539,80766
Sri Lanka,2020,43299,204,43299,204
Sri Lanka,2021,204751,2553,248050,2757
Sudan,2020,25500,1561,25500,1561
Sudan,2021,11074,1189,36574,2750
Suriname,2020,6098,120,6098,120
Suriname,2021,14451,362,20549,482
Sweden,2020,437300,9652,437300,9652
Sweden,2021,651596,4967,1088896,14619
Switzerland,2020,451161,7482,451161,7482
Switzerland,2021,248112,2801,699273,10283
Syrian Arab Republic,2020,11344,704,11344,704
Syrian Arab Republic,2021,13943,1155,25287,1859
Tajikistan,2020,13665,90,13665,90
Tajikistan,2021,112,1,13777,91
Thailand,2020,6884,61,6884,61
Thailand,2021,229407,1758,236291,1819
The United Kingdom,2020,2532601,72548,2532601,72548
The United Kingdom,2021,2151975,55500,4684576,128048
Timor-Leste,2020,44,0,44,0
Timor-Leste,2021,8868,20,8912,20
Togo,2020,3604,68,3604,68
Togo,2021,10159,60,13763,128
Tokelau,2020,0,0,0,0
Tokelau,2021,0,0,0,0
Tonga,2020,0,0,0,0
Tonga,2021,0,0,0,0
Trinidad and Tobago,2020,7132,126,7132,126
Trinidad and Tobago,2021,24075,642,31207,768
Tunisia,2020,137216,4620,137216,4620
Tunisia,2021,258146,9786,395362,14406
Turkey,2020,2194272,20642,2194272,20642
Turkey,2021,3198976,28775,5393248,49417
Turkmenistan,2020,0,0,0,0
Turkmenistan,2021,0,0,0,0
Turks and Caicos Islands,2020,865,6,865,6
Turks and Caicos Islands,2021,1559,12,2424,18
Tuvalu,2020,0,0,0,0
Tuvalu,2021,0,0,0,0
Uganda,2020,34677,249,34677,249
Uganda,2021,40860,532,75537,781
Ukraine,2020,1055047,18533,1055047,18533
Ukraine,2021,1177743,33701,2232790,52234
United Arab Emirates,2020,206092,665,206092,665
United Arab Emirates,2021,414217,1110,620309,1775
United Republic of Tanzania,2020,509,21,509,21
United Republic of Tanzania,2021,0,0,509,21
United States Virgin Islands,2020,2010,23,19513331,345398
United States Virgin Islands,2021,1809,7,33257768,597727
United States of America,2020,19513331,345398,2010,23
United States of America,2021,13744437,252329,3819,30
Uruguay,2020,17962,168,17962,168
Uruguay,2021,342285,5206,360247,5374
Uzbekistan,2020,77060,614,77060,614
Uzbekistan,2021,31124,111,108184,725
Vanuatu,2020,1,0,1,0
Vanuatu,2021,2,0,3,0
Venezuela (Bolivarian Republic of),2020,112861,1021,112861,1021
Venezuela (Bolivarian Republic of),2021,151690,1986,264551,3007
Viet Nam,2020,1456,35,1456,35
Viet Nam,2021,12867,37,14323,72
Wallis and Futuna,2020,4,0,4,0
Wallis and Futuna,2021,450,7,454,7
Yemen,2020,2101,611,2101,611
Yemen,2021,4804,745,6905,1356
Zambia,2020,20462,386,20462,386
Zambia,2021,120158,1469,140620,1855
Zimbabwe,2020,13625,360,13625,360
Zimbabwe,2021,30681,1349,44306,1709
